magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
PAU,5895-01-5838449,3.0,6.0,3.0
PAU,5895-01-6850029,1.0,2.0,1.0
PAU,5895-14-5377196,12.0,14.0,2.0
PAU,5895-14-5377197,5.0,9.0,4.0
PAU,5895-15-1922999,3.0,10.0,7.0
PAU,5930-01-5842661,2.0,4.0,2.0
PAU,5998-14-5649402,3.0,4.0,1.0
PAU,7025-01-6409763,7.0,22.0,15.0
PAU,7025-01-7016891,1.0,4.0,3.0
PAU,7035-01-6083487,4.0,22.0,18.0
PAU,7490-01-7136454,2.0,5.0,3.0
PAU,9010-DI-0012022,6.0,53.0,47.0
