nomenclature,deficit_total,nb_magasins,deficit_moyen,total_exploitation,total_stock
DIRI-14-0004643,18.0,1,18.0,1.0,19.0
7025-01-6844735,18.0,6,3.0,61.0,79.0
5998-14-4761678,18.0,1,18.0,2.0,20.0
5805-14-5117389,-18.0,1,-18.0,20.0,2.0
7035-25-1476091,17.0,1,17.0,1.0,18.0
5998-14-5223334,17.0,1,17.0,3.0,20.0
7025-14-6066924,17.0,1,17.0,7.0,24.0
6130-01-6654038,17.0,1,17.0,1.0,18.0
5895-14-5767842,-17.0,2,-8.5,26.0,9.0
7050-14-5464042,-17.0,3,-5.67,22.0,5.0
6130-01-6594359,-17.0,1,-17.0,18.0,1.0
5805-01-5795097,-17.0,1,-17.0,18.0,1.0
7025-14-5930484,16.0,1,16.0,5.0,21.0
5805-14-4220850,16.0,1,16.0,2.0,18.0
5895-01-6998026,-16.0,3,-5.33,24.0,8.0
5895-14-4784400,16.0,1,16.0,1.0,17.0
5975-14-4491638,16.0,1,16.0,2.0,18.0
5895-15-2168665,-16.0,1,-16.0,19.0,3.0
5998-14-4852169,-16.0,3,-5.33,69.0,53.0
8145-14-5886585,16.0,1,16.0,2.0,18.0
5895-22-6161898,-15.0,2,-7.5,24.0,9.0
5998-14-4852180,15.0,3,5.0,30.0,45.0
7025-14-6031213,15.0,1,15.0,1.0,16.0
7025-22-6279694,15.0,1,15.0,2.0,17.0
7021-01-5844460,15.0,1,15.0,11.0,26.0
7025-01-5933588,15.0,1,15.0,17.0,32.0
9010-DI-1012016,-15.0,5,-3.0,74.0,59.0
7025-01-6611870,-15.0,1,-15.0,22.0,7.0
9080-DI-0372021,15.0,1,15.0,3.0,18.0
7025-01-5868738,15.0,1,15.0,6.0,21.0
5805-14-5216514,15.0,1,15.0,4.0,19.0
6130-14-5976924,-15.0,1,-15.0,18.0,3.0
5998-14-4852168,14.0,2,7.0,17.0,31.0
7025-01-4976237,-14.0,1,-14.0,16.0,2.0
5805-01-5636332,14.0,2,7.0,2.0,16.0
7010-26-3013874,-14.0,1,-14.0,17.0,3.0
7025-01-6787839,-14.0,1,-14.0,15.0,1.0
5998-01-6590122,-14.0,1,-14.0,15.0,1.0
7025-01-6113327,14.0,2,7.0,9.0,23.0
6140-14-5654871,-14.0,2,-7.0,16.0,2.0
5998-14-5649220,-14.0,1,-14.0,15.0,1.0
7025-14-5584463,14.0,3,4.67,8.0,22.0
7010-01-6902880,-14.0,2,-7.0,32.0,18.0
6130-01-6429643,-14.0,2,-7.0,17.0,3.0
5895-14-5795081,-14.0,1,-14.0,15.0,1.0
5836-01-7013353,-14.0,1,-14.0,16.0,2.0
6625-01-6829918,14.0,1,14.0,2.0,16.0
7035-01-6773797,-14.0,1,-14.0,24.0,10.0
5895-01-7022542,-13.0,4,-3.25,50.0,37.0
5895-01-6075842,-13.0,1,-13.0,25.0,12.0
6130-15-1804826,-13.0,1,-13.0,17.0,4.0
5998-14-5115515,-13.0,1,-13.0,18.0,5.0
5895-01-6592841,-13.0,1,-13.0,14.0,1.0
6130-14-4852167,-13.0,3,-4.33,78.0,65.0
5998-14-4891305,-13.0,1,-13.0,15.0,2.0
5895-14-5223318,-13.0,1,-13.0,14.0,1.0
5895-14-6094639,13.0,1,13.0,1.0,14.0
5820-14-5649881,13.0,2,6.5,2.0,15.0
7025-01-6505078,13.0,1,13.0,1.0,14.0
7021-01-6973011,-12.0,1,-12.0,16.0,4.0
7010-14-5874077,-12.0,1,-12.0,13.0,1.0
6130-14-5849963,12.0,1,12.0,1.0,13.0
5998-14-6035944,12.0,1,12.0,4.0,16.0
5930-01-6692243,-12.0,5,-2.4,67.0,55.0
5998-14-4747169,-12.0,1,-12.0,15.0,3.0
7025-20-0094505,12.0,1,12.0,3.0,15.0
5895-01-5598030,-12.0,2,-6.0,15.0,3.0
5895-01-6548913,12.0,1,12.0,4.0,16.0
7025-14-6078971,-12.0,1,-12.0,14.0,2.0
7035-14-5536385,12.0,1,12.0,5.0,17.0
5895-14-5536338,-12.0,1,-12.0,16.0,4.0
7025-14-5947383,12.0,1,12.0,4.0,16.0
5895-14-5854195,-12.0,1,-12.0,20.0,8.0
5820-01-6785684,12.0,2,6.0,9.0,21.0
7025-14-5694773,-12.0,1,-12.0,18.0,6.0
5895-37-5195061,-12.0,2,-6.0,17.0,5.0
7025-01-6036810,12.0,1,12.0,4.0,16.0
9080-DI-0412021,-12.0,1,-12.0,14.0,2.0
5805-15-2220909,-12.0,1,-12.0,17.0,5.0
7025-66-1638304,-12.0,2,-6.0,17.0,5.0
5805-01-6666436,-12.0,1,-12.0,15.0,3.0
5998-14-5216511,-11.0,1,-11.0,14.0,3.0
8145-14-5886584,11.0,1,11.0,1.0,12.0
7435-15-0102549,11.0,1,11.0,14.0,25.0
7025-14-5947569,11.0,2,5.5,28.0,39.0
7025-01-6823189,-11.0,2,-5.5,17.0,6.0
6140-14-5937794,11.0,1,11.0,1.0,12.0
5895-39-0013584,-11.0,1,-11.0,12.0,1.0
7025-01-5812378,11.0,2,5.5,14.0,25.0
5998-14-4535516,-11.0,1,-11.0,12.0,1.0
5998-14-5149568,-11.0,2,-5.5,15.0,4.0
