magasin;nomenclature;quantite_exploitation;quantite_stock;deficit;type_deficit;deficit_abs;ratio_exp_stock
BST;7025-01-6429649;34.0;1.0;-33.0;MANQUE;33.0;33.966
CNSO;7025-17-1254851;1.0;34.0;33.0;SURPLUS;33.0;0.029
CNSO;7025-01-6470038;1.0;34.0;33.0;SURPLUS;33.0;0.029
CNSO;7025-14-5947791;4.0;37.0;33.0;SURPLUS;33.0;0.108
CHG;5998-14-4852169;37.0;4.0;-33.0;MANQUE;33.0;9.248
CNSO;5895-14-5147140;2.0;35.0;33.0;SURPLUS;33.0;0.057
BST;6130-14-5654861;34.0;1.0;-33.0;MANQUE;33.0;33.966
CHG;7025-01-7061923;7.0;39.0;32.0;SURPLUS;32.0;0.179
CGC;5998-14-5115509;34.0;2.0;-32.0;MANQUE;32.0;16.992
MRC;5998-14-4535518;34.0;2.0;-32.0;MANQUE;32.0;16.992
BST;7025-14-5947967;37.0;5.0;-32.0;MANQUE;32.0;7.399
CHG;5998-14-4852177;36.0;4.0;-32.0;MANQUE;32.0;8.998
BCE;5975-14-5882845;14.0;46.0;32.0;SURPLUS;32.0;0.304
CHG;5998-14-4852163;36.0;4.0;-32.0;MANQUE;32.0;8.998
CNSO;7025-14-5947569;7.0;38.0;31.0;SURPLUS;31.0;0.184
CNSO;7025-14-5849743;6.0;37.0;31.0;SURPLUS;31.0;0.162
CGC;5998-14-5649411;32.0;1.0;-31.0;MANQUE;31.0;31.968
CGC;5998-14-5648968;34.0;3.0;-31.0;MANQUE;31.0;11.33
MDM;7025-01-6691110;32.0;1.0;-31.0;MANQUE;31.0;31.968
CNSO;5998-14-5540116;2.0;33.0;31.0;SURPLUS;31.0;0.061
ANTACL;7050-14-5822576;32.0;1.0;-31.0;MANQUE;31.0;31.968
BST;7035-14-5860693;32.0;1.0;-31.0;MANQUE;31.0;31.968
CGC;7025-01-6735508;34.0;3.0;-31.0;MANQUE;31.0;11.33
BST;7490-01-5822347;32.0;1.0;-31.0;MANQUE;31.0;31.968
BST;6130-14-5650944;35.0;4.0;-31.0;MANQUE;31.0;8.748
CNSO;7010-14-5944723;32.0;1.0;-31.0;MANQUE;31.0;31.968
CNSO;9010-DI-1022014;33.0;3.0;-30.0;MANQUE;30.0;10.996
BST;5985-14-5944610;38.0;8.0;-30.0;MANQUE;30.0;4.749
CNSO;5998-14-4682244;2.0;32.0;30.0;SURPLUS;30.0;0.062
CNSO;7025-01-5997505;1.0;31.0;30.0;SURPLUS;30.0;0.032
CNSO;5895-14-5470829;9.0;39.0;30.0;SURPLUS;30.0;0.231
