nomenclature;nb_deficits;deficit_total;deficit_moyen;deficit_min;deficit_max;total_exploitation;moy_exploitation;total_stock;moy_stock;nb_magasins;nb_manques;nb_surplus;manques_total;surplus_total
5998-20-0085538;3;-58.0;-19.33;-39.0;-9.0;63.0;21.0;5.0;1.67;3;3.0;;58.0;
5998-14-5149583;3;-58.0;-19.33;-47.0;-2.0;66.0;22.0;8.0;2.67;3;3.0;;58.0;
5998-14-5115538;3;-57.0;-19.0;-28.0;-10.0;63.0;21.0;6.0;2.0;3;3.0;;57.0;
7025-14-5950147;1;57.0;57.0;57.0;57.0;21.0;21.0;78.0;78.0;1;;1.0;;57.0
7025-01-6659124;7;-56.0;-8.0;-24.0;-2.0;80.0;11.43;24.0;3.43;7;7.0;;56.0;
5895-14-5818581;4;-55.0;-13.75;-46.0;20.0;100.0;25.0;45.0;11.25;4;2.0;1.0;75.0;20.0
5895-01-6038918;2;54.0;27.0;-15.0;69.0;19.0;9.5;73.0;36.5;2;1.0;1.0;15.0;69.0
5895-14-5591085;2;53.0;26.5;-1.0;54.0;29.0;14.5;82.0;41.0;2;1.0;1.0;1.0;54.0
7010-14-5933477;1;-53.0;-53.0;-53.0;-53.0;56.0;56.0;3.0;3.0;1;1.0;;53.0;
5998-14-4491655;2;53.0;26.5;-4.0;57.0;9.0;4.5;62.0;31.0;2;1.0;1.0;4.0;57.0
7010-14-5870866;1;52.0;52.0;52.0;52.0;3.0;3.0;55.0;55.0;1;;1.0;;52.0
6130-01-6439237;2;52.0;26.0;-6.0;58.0;18.0;9.0;70.0;35.0;2;1.0;1.0;6.0;58.0
7035-14-5499899;1;52.0;52.0;52.0;52.0;2.0;2.0;54.0;54.0;1;;1.0;;52.0
5805-14-5395177;4;51.0;12.75;-10.0;62.0;19.0;4.75;70.0;17.5;4;2.0;2.0;13.0;64.0
5998-14-4392518;1;51.0;51.0;51.0;51.0;1.0;1.0;52.0;52.0;1;;1.0;;51.0
5965-14-4177295;1;51.0;51.0;51.0;51.0;4.0;4.0;55.0;55.0;1;;1.0;;51.0
7025-01-6997334;4;-50.0;-12.5;-40.0;27.0;117.0;29.25;67.0;16.75;4;3.0;1.0;77.0;27.0
5820-99-9596146;2;-50.0;-25.0;-70.0;20.0;174.0;87.0;124.0;62.0;2;1.0;1.0;70.0;20.0
